aX,aY,aZ,gX,gY,gZ
0.326,0.286,0.726,103.149,-48.279,-39.734
0.245,0.282,0.722,102.478,-59.57,-46.387
0.151,0.269,0.733,101.624,-68.237,-49.5
0.07,0.239,0.771,99.609,-70.129,-47.729
0.04,0.215,0.833,97.656,-62.927,-41.87
0.071,0.222,0.93,97.839,-47.241,-33.875
0.161,0.215,0.979,103.943,-26.489,-29.358
0.237,0.179,1.01,115.845,-7.996,-31.921
0.305,0.136,1.012,126.465,3.296,-38.635
0.347,0.083,1.03,132.141,4.578,-44.983
0.348,0.025,1.081,129.822,-1.404,-48.584
0.348,-0.045,1.144,121.094,-8.85,-49.133
0.357,-0.062,1.18,109.253,-13.245,-45.044
0.356,-0.047,1.173,97.29,-14.038,-38.757
0.346,-0.017,1.147,86.609,-13.611,-32.837
0.333,0.021,1.131,78.369,-12.573,-26.367
0.326,0.055,1.131,73.669,-9.46,-19.836
0.326,0.064,1.129,72.876,-5.981,-15.076
0.345,0.069,1.13,73.73,-4.272,-13.428
0.301,0.039,1.106,72.937,-7.568,-14.16
0.318,0.048,1.112,70.679,-9.216,-15.259
0.292,0.057,1.124,67.688,-12.024,-16.724
0.279,0.039,1.118,65.552,-14.404,-17.7
0.226,0.026,1.102,61.707,-18.799,-17.761
0.231,-0.002,1.124,55.786,-21.179,-16.235
0.227,0.005,1.151,49.866,-18.555,-14.343
-0.047,0.747,0.644,70.435,17.822,-10.071
-0.026,0.739,0.656,69.214,17.761,-12.329
-0.005,0.734,0.658,67.81,16.724,-14.221
0.003,0.734,0.666,65.918,14.771,-15.076
0.001,0.737,0.682,64.27,12.512,-15.198
-0.009,0.739,0.689,62.744,11.23,-15.32
-0.026,0.738,0.698,62.195,11.78,-15.015
-0.029,0.736,0.718,62.134,15.381,-13.855
-0.011,0.725,0.728,62.683,21.912,-12.207
0.007,0.712,0.738,63.049,26.733,-10.742
0.027,0.693,0.753,62.073,28.931,-9.338
0.054,0.682,0.771,60.12,29.846,-8.423
0.075,0.672,0.775,57.922,28.87,-7.324
0.09,0.66,0.774,55.054,26.306,-6.409
0.103,0.659,0.768,51.514,22.644,-5.127
0.104,0.668,0.762,48.523,18.738,-3.235
0.096,0.668,0.761,46.265,15.137,-1.831
0.077,0.671,0.764,44.006,12.268,-1.526
0.071,0.668,0.771,41.992,10.498,-1.587
0.073,0.655,0.775,40.405,10.193,-1.221
0.069,0.657,0.782,38.574,10.986,-0.183
0.065,0.659,0.781,36.865,12.085,1.038
0.067,0.651,0.784,36.133,12.939,1.526
0.073,0.636,0.792,35.522,12.695,1.526
0.072,0.617,0.796,34.546,12.085,1.099
0.072,0.61,0.798,32.959,11.292,0.854
-0.079,0.826,0.398,89.05,-16.357,2.869
-0.101,0.81,0.429,90.027,-11.108,4.517
-0.118,0.788,0.447,90.698,-4.272,6.836
-0.129,0.769,0.467,91.064,3.357,10.559
