aX,aY,aZ,gX,gY,gZ
0.118,-0.026,0.97,-4.089,2.197,-1.099
0.127,-0.044,0.969,-5.92,1.282,-2.075
0.146,-0.051,0.953,-6.47,-0.488,-2.441
0.167,-0.056,0.939,-6.531,-1.038,-2.38
0.181,-0.08,0.929,-6.47,-0.916,-1.404
0.193,-0.023,0.926,-5.066,-0.916,1.648
0.203,-0.031,0.926,-3.54,2.075,1.648
0.207,-0.033,0.915,-2.563,4.639,2.197
0.19,-0.024,0.899,0.305,5.249,5.737
0.173,-0.018,0.896,3.418,6.653,7.507
0.161,-0.002,0.905,5.554,8.057,7.629
0.155,0.008,0.91,7.751,7.446,7.446
0.157,0.018,0.92,8.667,5.432,7.629
0.16,0.02,0.93,8.789,3.296,7.446
0.161,0.017,0.937,8.972,1.465,6.714
0.159,0.008,0.953,8.179,0.916,5.554
0.158,-0.005,0.963,7.08,0.305,5.127
0.16,-0.024,0.964,7.507,-0.366,5.188
0.17,-0.042,0.969,7.874,-0.305,5.127
0.177,-0.062,0.975,8.972,0.671,6.287
0.176,-0.081,0.977,11.353,3.174,8.667
0.168,-0.089,0.983,15.198,7.019,10.742
0.154,-0.094,0.993,19.226,11.475,11.963
0.135,-0.088,1.008,22.156,14.709,13.306
0.115,-0.071,1.023,23.804,16.541,14.099
0.105,-0.075,1.028,23.987,16.907,13.794
0.054,0.111,0.993,23.376,-14.954,25.391
0.089,0.117,1.001,8.85,-36.987,20.569
0.113,0.101,0.99,-1.526,-55.664,17.639
0.106,0.058,0.988,-7.568,-65.308,16.907
0.066,0.009,1.001,-7.69,-65.063,20.386
0.01,-0.021,1.021,-3.174,-56.213,25.94
-0.052,-0.048,1.055,4.578,-41.809,32.471
-0.12,-0.089,1.103,12.39,-26.855,38.391
-0.16,-0.114,1.154,17.334,-14.404,42.542
-0.173,-0.112,1.168,20.203,-7.568,43.091
-0.167,-0.088,1.174,20.203,-5.249,40.1
-0.148,-0.057,1.173,15.32,-5.249,35.156
-0.126,-0.042,1.164,7.629,-7.08,28.809
-0.109,-0.038,1.153,-1.648,-10.132,21.057
-0.102,-0.068,1.146,-10.498,-13.367,14.526
-0.085,-0.089,1.128,-18.005,-15.747,10.742
-0.069,-0.099,1.099,-22.095,-16.357,9.216
-0.083,-0.123,1.081,-22.339,-13.184,9.46
-0.095,-0.142,1.079,-20.081,-6.165,10.498
-0.104,-0.155,1.081,-16.418,0.732,11.536
-0.121,-0.167,1.09,-13.611,6.592,12.207
-0.13,-0.17,1.099,-11.902,11.841,10.498
-0.122,-0.168,1.107,-10.498,15.93,7.202
-0.106,-0.144,1.117,-10.437,18.188,4.15
-0.094,-0.117,1.121,-10.62,19.043,2.93
-0.099,-0.078,1.114,-11.292,19.409,3.296
-0.076,-0.188,0.916,6.165,6.104,11.597
-0.094,-0.203,0.941,5.005,2.319,12.39
-0.097,-0.211,0.965,2.93,-0.977,12.512
-0.075,-0.201,0.962,1.404,-3.296,12.268
-0.06,-0.186,0.946,0.244,-4.639,11.902
-0.042,-0.178,0.925,-0.916,-3.418,11.902
-0.026,-0.172,0.912,-2.258,-1.77,11.108
-0.012,-0.161,0.908,-3.784,-1.77,10.559
-0.016,-0.165,0.919,-5.188,-3.418,10.62
-0.041,-0.184,0.952,-7.324,-6.653,11.841
-0.072,-0.202,0.972,-9.033,-8.972,12.024
-0.09,-0.213,0.985,-9.216,-9.338,11.414
-0.102,-0.218,0.998,-9.094,-8.484,10.925
-0.111,-0.232,1.003,-8.179,-5.737,11.536
-0.1,-0.237,0.998,-6.836,-2.38,12.695
-0.074,-0.23,0.976,-5.31,0.427,13.489
-0.052,-0.211,0.947,-3.906,3.113,13.123
-0.032,-0.183,0.927,-2.38,4.761,12.634
-0.021,-0.164,0.916,-2.258,5.188,12.39
-0.018,-0.153,0.92,-3.784,3.357,12.756
-0.028,-0.151,0.923,-7.019,0.427,13.489
-0.056,-0.157,0.932,-10.742,-1.77,14.221
-0.08,-0.167,0.946,-14.771,-1.892,14.282
-0.105,-0.191,0.96,-17.761,0.122,14.038
-0.108,-0.192,0.949,-18.555,3.418,13.916
-0.088,-0.178,0.922,-15.686,7.507,13.489
-0.158,-0.228,1.014,-4.517,0.854,12.329
-0.156,-0.233,1.005,-5.432,-7.202,13.245
-0.129,-0.25,0.99,-6.104,-9.827,14.343
-0.097,-0.268,0.96,-5.615,-5.981,14.832
-0.039,-0.253,0.919,-3.967,1.587,14.771
0.026,-0.216,0.868,-0.977,9.827,13.916
0.053,-0.191,0.839,0.427,13,12.512
0.039,-0.191,0.861,-0.305,9.155,13.062
-0.003,-0.213,0.898,-1.77,0.305,14.771
-0.055,-0.233,0.958,-3.357,-8.972,15.503
-0.106,-0.242,0.998,-4.639,-16.602,15.686
-0.146,-0.244,1.033,-4.7,-20.02,15.381
-0.168,-0.255,1.073,-4.517,-17.334,15.381
-0.171,-0.256,1.091,-3.296,-9.094,15.015
-0.143,-0.23,1.071,-0.671,2.869,14.465
-0.09,-0.211,1.021,2.625,16.968,14.099
-0.01,-0.159,0.944,4.211,26.917,13.611
0.051,-0.129,0.877,3.784,27.588,12.39
0.043,-0.145,0.869,-0.854,18.616,12.573
0.006,-0.175,0.882,-6.592,4.333,15.137
-0.042,-0.19,0.905,-9.644,-9.949,16.357
-0.09,-0.183,0.944,-10.62,-20.752,14.587
-0.151,-0.187,0.998,-10.132,-26.001,12.329
-0.195,-0.216,1.045,-9.155,-23.193,11.292
-0.193,-0.212,1.052,-7.141,-15.076,11.597
-0.151,-0.188,1.021,-4.211,-5.92,11.475
-0.008,-0.231,0.897,-0.671,-9.46,-4.272
0.014,-0.218,0.877,1.526,-7.568,-2.93
0.025,-0.194,0.874,3.784,-9.827,-0.916
0.011,-0.167,0.905,5.31,-12.573,2.075
-0.012,-0.166,0.948,5.493,-12.695,4.211
-0.044,-0.181,0.981,4.272,-9.705,3.54
-0.075,-0.192,1.005,2.075,-4.883,2.441
-0.094,-0.205,1.025,-0.122,0.977,1.587
-0.102,-0.22,1.035,-3.54,8.423,0.488
-0.099,-0.215,1.02,-6.653,16.479,-0.488
-0.066,-0.206,0.995,-7.019,23.621,-1.16
-0.036,-0.189,0.963,-6.165,28.931,-1.892
-0.001,-0.177,0.937,-5.31,31.677,-2.686
0.022,-0.187,0.932,-5.249,31.433,-3.296
